eventid,time,latitude,longitude,country,depth,magnitude
usp000a6gz,977416970070,7.328,126.706,"15 km ENE of Santiago, Philippines",33.0,5.1
usp000a6gt,977410391540,-3.109,150.743,"59 km S of Kavieng, Papua New Guinea",33.0,5.5
usp000a6gs,977410299710,-3.184,150.475,"76 km SSW of Kavieng, Papua New Guinea",33.0,5.0
usp000a6gn,977404473260,-3.263,150.445,"85 km SSW of Kavieng, Papua New Guinea",33.0,5.7
iscgem3265188,977403900270,-3.221,150.758,"71 km S of Kavieng, Papua New Guinea",25.0,5.5
usp000a6fq,977367958630,-18.235,-178.134,"270 km E of Levuka, Fiji",435.6,5.0
usp000a6fp,977366483130,-5.354,154.133,"183 km NW of Panguna, Papua New Guinea",386.7,6.0
usp000a6fj,977360487770,-5.706,151.122,"110 km E of Kimbe, Papua New Guinea",33.0,6.4
usp000a6er,977331417220,-34.218,-179.852,south of the Kermadec Islands,33.0,5.1
usp000a6ep,977330983300,-9.231,154.353,D'Entrecasteaux Islands region,33.0,6.6
usp000a6em,977330366390,-24.123,-176.802,south of the Fiji Islands,68.8,5.7
usp000a6ej,977325439930,9.418,-85.452,"51 km S of Sámara, Costa Rica",33.0,5.5
usp000a6ea,977318920220,-22.82,-66.355,"68 km W of Abra Pampa, Argentina",222.6,5.3
usp000a6e9,977318543400,36.84,71.024,"17 km E of Jurm, Afghanistan",84.5,5.0
usp000a6e0,977311434100,-39.008,-74.662,"134 km WSW of Carahue, Chile",11.0,6.5
usp000a6dw,977303990100,53.418,159.837,"89 km ENE of Petropavlovsk-Kamchatsky, Russia",66.8,5.4
usp000a6bm,977231507370,11.765,144.76,"166 km S of Merizo Village, Guam",33.0,6.2
usp000a6bb,977223065760,29.375,131.471,"131 km SE of Koshima, Japan",33.0,5.0
usp000a6b3,977215819030,-17.571,167.721,"65 km WNW of Port-Vila, Vanuatu",33.0,5.7
usp000a6a0,977174130730,-21.182,-179.097,Fiji region,648.7,5.7
usp000a68h,977102361650,-21.178,-179.124,Fiji region,628.2,6.6
usp000a68b,977091885760,-20.514,169.774,"119 km SSE of Isangel, Vanuatu",123.4,5.3
usp000a677,977043552060,-5.19,153.695,"183 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a66q,977020154090,-28.191,-177.437,Kermadec Islands region,74.0,5.0
usp000a66n,977016838120,54.388,162.055,"205 km SE of Atlasovo, Russia",33.0,5.1
usp000a66b,977003879340,-3.966,151.484,"79 km WNW of Rabaul, Papua New Guinea",33.0,5.6
usp000a65k,976964728460,-26.82,-113.342,Easter Island region,10.0,5.5
usp000a65g,976957940420,7.086,-77.973,"23 km W of Juradó, Colombia",33.0,5.4
usp000a64j,976902191800,-15.669,-177.331,"172 km SSE of Alo, Wallis and Futuna",33.0,5.6
usp000a64f,976898687660,38.457,31.351,"12 km NNW of Ak?ehir, Turkey",10.0,6.0
usp000a64e,976898683440,38.541,31.207,"2 km WNW of Sultanda??, Turkey",10.0,5.0
usp000a648,976889297480,-5.508,-11.528,Ascension Island region,10.0,5.3
usp000a644,976885201870,-50.4,-6.883,southern Mid-Atlantic Ridge,10.0,5.5
usp000a643,976884429840,-21.565,-69.736,"75 km NE of Tocopilla, Chile",74.7,5.1
usp000a61b,976750669410,-21.652,170.626,"272 km SSE of Isangel, Vanuatu",100.0,5.3
usp000a60y,976731839100,-6.26,153.12,"232 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a60q,976717754520,-4.856,153.196,"117 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a60p,976717649240,28.768,130.068,"72 km NE of Naze, Japan",37.2,5.1
usp000a609,976705246730,47.26,153.931,Kuril Islands,36.4,5.1
usp000a5zy,976689971080,-6.246,153.105,"229 km SSE of Kokopo, Papua New Guinea",33.0,5.4
usp000a5zw,976687822620,-3.095,148.331,"166 km SE of Lorengau, Papua New Guinea",33.0,5.7
usp000a5z0,976653176690,24.15,122.485,"62 km SW of Yonakuni, Japan",48.0,5.4
usp000a5y0,976598805940,6.015,-82.679,"224 km S of Punta de Burica, Panama",10.0,6.1
usp000a5x1,976560847490,19.091,-67.093,"65 km N of Isabela, Puerto Rico",52.6,5.5
usp000a5wv,976554452710,-55.91,-28.06,South Sandwich Islands region,113.5,5.7
usp000a5wn,976539527160,-29.896,-176.808,Kermadec Islands region,51.8,5.2
usp000a5vw,976509766380,-15.569,168.097,"92 km NE of Norsup, Vanuatu",33.0,5.3
usp000a5vg,976490804950,-5.903,151.888,"177 km SSW of Kokopo, Papua New Guinea",33.0,5.2
usp000a5v3,976474716560,0.05,127.38,"78 km SSW of Sofifi, Indonesia",150.0,5.7
usp000a5uc,976455034830,19.083,121.187,"52 km N of Namuac, Philippines",33.0,5.5
usp000a5ua,976452920780,44.223,81.369,"44 km ENE of Huocheng, China",33.0,5.2
usp000a5tw,976442749910,-0.847,121.554,"107 km NE of Poso, Indonesia",33.0,5.5
usp000a5t9,976418278430,-6.698,155.716,"49 km SSE of Panguna, Papua New Guinea",67.0,5.0
usp000a5sz,976405119490,-21.955,-179.503,Fiji region,597.3,5.1
usp000a5sx,976402187690,-36.388,-98.758,southeast of Easter Island,10.0,5.8
usp000a5sk,976387007350,18.292,146.461,"Pagan region, Northern Mariana Islands",64.8,5.2
usp000a5sa,976381261930,17.992,-105.071,"140 km SSW of Barra de Navidad, Mexico",33.0,5.3
usp000a5qz,976304664500,46.709,152.921,Kuril Islands,12.5,5.1
usp000a5qv,976298564560,-29.832,-177.85,"Kermadec Islands, New Zealand",33.0,5.3
usp000a5qs,976294578530,22.706,-107.552,"131 km WSW of Mazatlán, Mexico",10.0,5.5
usp000a5qn,976289054660,-4.599,153.255,"113 km ESE of Kokopo, Papua New Guinea",33.0,5.5
usp000a5q7,976263722040,-20.05,-173.895,"54 km ESE of Pangai, Tonga",33.0,5.3
usp000a5pa,976231099720,-4.235,152.883,"69 km E of Kokopo, Papua New Guinea",33.0,5.4
usp000a5p9,976230158470,-4.307,152.842,"63 km E of Kokopo, Papua New Guinea",33.0,5.1
usp000a5p3,976216413050,-4.305,152.863,"66 km E of Kokopo, Papua New Guinea",33.0,5.4
usp000a5p1,976214875200,29.382,131.419,"127 km SE of Koshima, Japan",33.0,5.2
usp000a5nb,976181479120,-4.274,152.786,"57 km E of Kokopo, Papua New Guinea",33.0,5.8
usp000a5mt,976153259430,-5.116,153.197,"133 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a5mp,976143460040,-4.218,152.725,"52 km ENE of Kokopo, Papua New Guinea",31.0,6.5
ak000fo97rxo,976128026044,63.8905,-150.3066,"59 km WSW of Ferry, Alaska",11.7,5.0
usp000a5m7,976122666400,39.566,54.799,"37 km E of Balkanabat, Turkmenistan",30.0,7.0
usp000a5kc,976085264390,-10.9,-78.324,"59 km WSW of Paramonga, Peru",41.3,5.2
usp000a5jr,976054294410,52.577,-167.847,"79 km ESE of Nikolski, Alaska",33.0,5.9
usp000a5ja,976040069720,43.915,-128.36,off the coast of Oregon,10.0,5.2
usp000a5hp,976014505060,4.222,126.439,"169 km SE of Sarangani, Philippines",101.4,5.7
usp000a5h3,975982160230,-26.266,179.591,south of the Fiji Islands,487.1,5.0
usp000a5gx,975968197440,-56.234,-143.535,Pacific-Antarctic Ridge,10.0,5.3
usp000a5gv,975965589620,2.5,128.308,"91 km NNE of Tobelo, Indonesia",100.0,5.2
usp000a5gk,975948457550,35.748,140.948,"10 km E of Hasaki, Japan",59.8,5.7
usp000a5g6,975925044680,53.08,171.018,"147 km W of Attu Station, Alaska",33.0,5.2
usp000a5g2,975916483840,1.436,99.074,"22 km WNW of Padangsidempuan, Indonesia",94.8,5.2
usp000a5fv,975904989590,14.876,-93.944,"104 km SW of El Palmarcito, Mexico",33.0,6.1
usp000a5fu,975904934310,14.921,-93.856,"93 km SW of El Palmarcito, Mexico",33.0,5.3
usp000a5ev,975848116700,51.666,-178.156,"107 km WSW of Adak, Alaska",43.2,5.7
usp000a5ep,975835546050,1.62,126.036,"119 km E of Laikit, Laikit II (Dimembe), Indonesia",62.4,5.4
usp000a5cg,975736978680,-30.603,-178.056,"Kermadec Islands, New Zealand",58.2,5.0
usp000a5c7,975730601750,-7.15,27.75,"152 km SE of Kabalo, Democratic Republic of the Congo",10.0,5.0
usp000a5bq,975711423200,-30.467,-178.132,"Kermadec Islands, New Zealand",68.1,5.1
usp000a5b0,975679664100,18.204,-102.35,"18 km SSW of Arteaga, Mexico",33.0,5.4
usp000a5av,975677253690,35.255,-35.328,northern Mid-Atlantic Ridge,10.0,5.8
usp000a5ad,975646431820,-21.715,-175.312,"56 km SW of ‘Ohonua, Tonga",33.0,5.2
usp000a5a1,975629266810,-5.788,152.052,"161 km S of Kokopo, Papua New Guinea",33.0,5.2
usp000a59q,975614468020,10.554,126.043,"48 km SSE of Sulangan, Philippines",33.0,5.4
usp000a565,975494699080,39.856,50.209,"56 km S of Türkan, Azerbaijan",33.0,5.0
ak000fcjnuse,975494148461,63.8417,-150.1026,"52 km WSW of Ferry, Alaska",16.2,5.8
usp000a563,975493513260,-24.869,-70.886,"72 km NW of Taltal, Chile",58.2,6.3
usp000a55b,975462524370,13.775,120.657,"6 km SSE of Calatagan, Philippines",117.5,5.5
usp000a550,975453895660,-4.834,153.338,"130 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a529,975322469840,-24.663,-70.151,"89 km NNE of Taltal, Chile",58.3,5.2
usp000a51c,975280198580,-60.228,-47.067,Scotia Sea,10.0,5.2
usp000a4ze,975216191630,-6.444,153.422,"228 km W of Panguna, Papua New Guinea",33.0,5.2
usp000a4yy,975204847720,-5.692,153.627,"New Ireland region, Papua New Guinea",33.0,5.2
usp000a4yx,975204109610,35.868,90.55,"Southern Qinghai, China",33.0,5.4
usp000a4xx,975176574360,-5.167,153.208,"138 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4xv,975175847390,40.167,49.954,"23 km SSE of Badamdar, Azerbaijan",33.0,6.5
usp000a4xu,975175751420,40.245,49.946,"15 km SSE of Baku, Azerbaijan",50.4,6.8
usp000a4xt,975174069890,-5.698,153.535,"205 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4xh,975170818480,-5.425,153.605,"190 km SE of Kokopo, Papua New Guinea",33.0,5.6
usp000a4xd,975168587370,-5.477,153.47,"182 km SE of Kokopo, Papua New Guinea",33.0,5.4
usp000a4vb,975096978590,-5.249,152.541,"104 km SSE of Kokopo, Papua New Guinea",33.0,5.3
usp000a4v2,975086831160,-20.508,-174.367,"76 km S of Pangai, Tonga",35.3,5.4
usp000a4uv,975079767120,-4.839,153.181,"115 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a4ub,975060703620,-4.805,152.994,"95 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a4u4,975054450460,-5.277,152.967,"129 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4t2,975026398280,-4.576,153.066,"92 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a4sw,975021035460,-4.655,152.998,"87 km ESE of Kokopo, Papua New Guinea",33.0,5.8
usp000a4s9,975007020650,-4.757,153.276,"120 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a4s2,975004995660,-4.585,153.058,"91 km ESE of Kokopo, Papua New Guinea",33.0,6.3
usp000a4s0,974999505990,12.866,144.07,"78 km SW of Merizo Village, Guam",10.0,5.6
usp000a4rx,974994145550,-6.299,153.145,"237 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4r5,974969538010,11.494,-127.633,North Pacific Ocean,10.0,5.0
usp000a4r3,974967224380,-5.338,153.188,"150 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4qy,974962558710,-3.721,151.583,"83 km NW of Rabaul, Papua New Guinea",33.0,5.2
usp000a4qr,974958455800,46.487,153.217,Kuril Islands,33.0,5.0
usp000a4qm,974955398670,-5.076,152.559,"87 km SSE of Kokopo, Papua New Guinea",33.0,5.5
usp000a4qk,974954684550,-5.32,153.199,"149 km SE of Kokopo, Papua New Guinea",33.0,5.1
usp000a4pv,974938380780,-5.589,152.567,"141 km SSE of Kokopo, Papua New Guinea",33.0,5.7
usp000a4pt,974936293130,-14.744,166.679,"53 km NW of Port-Olry, Vanuatu",33.0,5.0
usp000a4ps,974936104510,-15.015,166.768,"32 km W of Port-Olry, Vanuatu",33.0,5.7
usp000a4pe,974926748230,-4.735,152.891,"81 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4pb,974925856200,-5.16,153.241,"140 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4pa,974925492120,-5.133,153.261,"140 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4ns,974906397080,-5.558,152.172,"134 km S of Kokopo, Papua New Guinea",33.0,5.0
usp000a4nk,974901026440,-5.192,152.848,"113 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4nd,974892619340,-5.195,152.726,"106 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4n3,974874433950,-6.378,153.34,"237 km W of Panguna, Papua New Guinea",33.0,5.5
usp000a4mq,974854139190,-5.397,152.894,"135 km SSE of Kokopo, Papua New Guinea",33.0,5.4
usp000a4mm,974851579700,-5.469,152.915,"143 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a4me,974844826640,-5.283,152.771,"117 km SSE of Kokopo, Papua New Guinea",33.0,5.1
usp000a4m8,974841665260,-5.43,152.688,"128 km SSE of Kokopo, Papua New Guinea",33.0,6.1
usp000a4m6,974839204390,51.753,-176.009,"45 km ESE of Adak, Alaska",46.7,5.1
usp000a4m3,974838055770,-3.421,150.889,"94 km S of Kavieng, Papua New Guinea",33.0,5.3
usp000a4m2,974837028310,-3.617,150.823,"115 km S of Kavieng, Papua New Guinea",33.0,5.8
usp000a4km,974828014450,-5.486,152.153,"New Britain region, Papua New Guinea",33.0,6.2
usp000a4kj,974827984730,-4.725,153.168,"108 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a4jq,974792638980,54.737,160.624,"115 km SSE of Atlasovo, Russia",86.4,5.2
usp000a4jh,974781858170,-4.484,152.785,"59 km ESE of Kokopo, Papua New Guinea",33.0,5.7
usp000a4g9,974712195630,-17.914,-178.549,"226 km E of Levuka, Fiji",550.0,5.0
usp000a4g5,974710174050,-5.065,152.833,"101 km SE of Kokopo, Papua New Guinea",33.0,5.4
usp000a4fx,974704943230,-5.173,152.475,"94 km SSE of Kokopo, Papua New Guinea",33.0,5.4
usp000a4dz,974651842540,-4.723,153.112,"102 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4dx,974650934960,-4.801,153.112,"106 km ESE of Kokopo, Papua New Guinea",33.0,5.9
usp000a4d6,974636722970,-4.948,153.283,"130 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4cy,974628102010,-5.718,152.1,"153 km S of Kokopo, Papua New Guinea",33.0,5.1
usp000a4cx,974627353800,-5.309,152.881,"126 km SSE of Kokopo, Papua New Guinea",33.0,5.4
usp000a4c1,974612119300,-5.588,151.867,"144 km SSW of Kokopo, Papua New Guinea",33.0,6.1
usp000a4c0,974611765810,-4.858,153.015,"100 km SE of Kokopo, Papua New Guinea",63.8,5.5
usp000a4bp,974603216500,-5.715,153.199,"183 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4bn,974601927570,-5.133,151.655,"110 km SW of Kokopo, Papua New Guinea",57.8,6.0
usp000a4bg,974598490350,-5.334,153.562,"180 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4bf,974598137440,-5.306,152.088,"108 km S of Kokopo, Papua New Guinea",33.0,5.2
usp000a4bb,974594316550,-4.682,153.1,"99 km ESE of Kokopo, Papua New Guinea",33.0,5.7
usp000a4b1,974588739780,-5.384,153.452,"174 km SE of Kokopo, Papua New Guinea",33.0,6.1
usp000a4ar,974584914780,-5.639,153.476,"196 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4ap,974584123990,-5.467,153.334,"171 km SE of Kokopo, Papua New Guinea",33.0,5.5
usp000a4aj,974582577870,-5.415,153.4,"172 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a4a7,974576507200,-6.31,153.43,"227 km W of Panguna, Papua New Guinea",33.0,5.0
usp000a4a3,974574281420,-5.219,153.446,"162 km SE of Kokopo, Papua New Guinea",33.0,5.4
usp000a49w,974568546070,-4.687,153.08,"97 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a49j,974562698150,-4.632,153.129,"100 km ESE of Kokopo, Papua New Guinea",33.0,5.7
usp000a49b,974559855030,-4.583,153.14,"100 km ESE of Kokopo, Papua New Guinea",33.0,5.7
usp000a49a,974559569080,-4.506,152.919,"74 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a496,974555248790,-4.578,153.075,"93 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a48k,974538345870,-5.623,153.308,"182 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a48f,974535631310,-5.457,152.425,"124 km S of Kokopo, Papua New Guinea",33.0,5.3
usp000a48b,974530498350,-5.228,151.771,"112 km SSW of Kokopo, Papua New Guinea",33.0,6.8
usp000a481,974524955100,-5.589,152.883,"153 km SSE of Kokopo, Papua New Guinea",33.0,5.7
usp000a47s,974521738190,-5.657,152.938,"163 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a47f,974519145100,-5.157,153.32,"147 km SE of Kokopo, Papua New Guinea",33.0,5.1
usp000a47c,974518235630,-4.224,152.729,"52 km ENE of Kokopo, Papua New Guinea",33.0,5.8
usp000a47b,974517428170,-5.343,153.298,"158 km SE of Kokopo, Papua New Guinea",33.0,5.3
usp000a471,974513633890,-5.033,153.273,"135 km SE of Kokopo, Papua New Guinea",33.0,5.3
usp000a470,974513148810,-5.097,153.181,"131 km SE of Kokopo, Papua New Guinea",33.0,6.6
usp000a46z,974512468770,-5.468,151.712,"138 km SSW of Kokopo, Papua New Guinea",33.0,5.2
usp000a46y,974510875570,-5.371,152.93,"135 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a46x,974510002480,-6.398,153.404,"New Britain region, Papua New Guinea",33.0,5.0
usp000a46t,974507127470,-5.631,151.84,"150 km SSW of Kokopo, Papua New Guinea",33.0,5.1
usp000a46s,974506618530,-5.269,153.151,"141 km SE of Kokopo, Papua New Guinea",33.0,5.5
usp000a46n,974505271980,-4.555,152.635,"46 km ESE of Kokopo, Papua New Guinea",33.0,5.2
usp000a45v,974498936920,-5.504,151.999,"131 km SSW of Kokopo, Papua New Guinea",33.0,5.1
usp000a45n,974497551940,-5.426,152.017,"122 km SSW of Kokopo, Papua New Guinea",33.0,5.7
usp000a45f,974494916490,-5.496,151.781,"138 km SSW of Kokopo, Papua New Guinea",33.0,7.8
usp000a44c,974477231870,-5.278,152.803,"119 km SSE of Kokopo, Papua New Guinea",33.0,5.3
usp000a43y,974468317090,-1.714,100.584,"88 km SSE of Padang, Indonesia",47.4,5.0
usp000a432,974453170790,-5.223,153.152,"138 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a42t,974447063740,-6.282,153.444,"225 km W of Panguna, Papua New Guinea",33.0,5.1
usp000a42m,974442622800,-4.963,152.408,"70 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a42k,974442611560,-4.982,153.155,"121 km SE of Kokopo, Papua New Guinea",33.0,5.4
usp000a42f,974441656800,-6.083,153.152,"215 km SSE of Kokopo, Papua New Guinea",33.0,5.1
usp000a42e,974441361230,-6.525,105.245,"66 km WSW of Labuan, Indonesia",29.4,5.3
usp000a422,974434975820,-6.268,153.366,"234 km W of Panguna, Papua New Guinea",33.0,5.7
usp000a41v,974430532530,-5.13,153.03,"121 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a41e,974426042740,-5.094,153.11,"New Ireland region, Papua New Guinea",33.0,5.4
usp000a41b,974425024110,-5.12,152.897,"110 km SE of Kokopo, Papua New Guinea",33.0,5.8
usp000a40z,974420855100,-4.831,153.19,"115 km ESE of Kokopo, Papua New Guinea",33.0,5.2
usp000a40h,974415844770,-5.398,153.171,"153 km SE of Kokopo, Papua New Guinea",33.0,5.3
usp000a403,974410593380,-5.491,153.132,"158 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3zw,974409349790,-5.066,153.015,"115 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3zm,974407170730,-5.605,152.888,"155 km SSE of Kokopo, Papua New Guinea",33.0,5.5
usp000a3zk,974407160370,-5.431,153.104,"151 km SE of Kokopo, Papua New Guinea",33.0,5.4
usp000a3zg,974406362070,-5.355,152.919,"133 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3zf,974406237790,-5.336,152.699,"119 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3ze,974405749210,-5.264,153.408,"162 km SE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3z4,974403492840,-4.402,152.794,"58 km E of Kokopo, Papua New Guinea",33.0,5.1
usp000a3z2,974402905250,-5.413,152.874,"136 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3z1,974402749880,-4.991,153.127,"119 km SE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3yc,974397834140,-3.772,152.87,"91 km ENE of Rabaul, Papua New Guinea",33.0,5.2
usp000a3yb,974397824980,-4.264,152.649,"43 km ENE of Kokopo, Papua New Guinea",33.0,5.7
usp000a3ya,974397589420,-4.692,153.237,"114 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3y0,974396266760,-5.562,153.466,"189 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3xv,974394391800,-14.751,166.718,"49 km NW of Port-Olry, Vanuatu",33.0,5.2
usp000a3xq,974393393270,-6.114,153.329,"228 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3xd,974391490700,-6.393,153.594,"209 km W of Panguna, Papua New Guinea",33.0,5.0
usp000a3x4,974390103710,-14.702,166.738,"52 km NW of Port-Olry, Vanuatu",33.0,5.3
usp000a3x3,974389734680,-6.168,153.029,"218 km SSE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3ww,974388222370,-6.346,153.543,"214 km W of Panguna, Papua New Guinea",33.0,5.6
usp000a3wt,974387740320,-4.682,153.231,"113 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3wa,974384584190,-4.914,153.074,"109 km SE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3w3,974382790830,-4.848,153.301,"127 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3w2,974382737740,-4.277,152.787,"New Britain region, Papua New Guinea",33.0,5.2
usp000a3vz,974381309930,-4.515,152.846,"66 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3vy,974380973780,-4.69,153.015,"91 km ESE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3vw,974380676790,-5.593,153.141,"168 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3vv,974380165070,-4.647,153.149,"103 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a3vu,974380153570,-4.802,153.1,"New Ireland region, Papua New Guinea",33.0,5.1
usp000a3vr,974379883590,-5.059,153.152,"125 km SE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3vh,974377578530,-4.093,152.685,"53 km ENE of Kokopo, Papua New Guinea",33.0,5.5
usp000a3vf,974376864090,-5.153,152.644,"98 km SSE of Kokopo, Papua New Guinea",33.0,5.4
usp000a3v6,974375303080,-4.512,152.8,"61 km ESE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3v1,974373601230,-5.298,152.898,"126 km SSE of Kokopo, Papua New Guinea",33.0,5.2
usp000a3uz,974373154550,-5.083,153.278,"138 km SE of Kokopo, Papua New Guinea",33.0,5.5
usp000a3uy,974372957220,-4.658,153.243,"113 km ESE of Kokopo, Papua New Guinea",33.0,5.3
usp000a3ux,974372741640,-5.29,152.968,"130 km SE of Kokopo, Papua New Guinea",33.0,6.2
usp000a3ut,974372158120,-4.771,153.218,"115 km ESE of Kokopo, Papua New Guinea",33.0,5.5
usp000a3uk,974371433520,-4.996,153.102,"117 km SE of Kokopo, Papua New Guinea",33.0,5.3
usp000a3uj,974371195650,-4.926,153.471,"148 km ESE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3uh,974370955810,-5.641,152.982,"163 km SSE of Kokopo, Papua New Guinea",33.0,5.1
usp000a3tr,974368209870,-4.874,153.171,"New Ireland region, Papua New Guinea",33.0,5.4
usp000a3tn,974367401760,-4.97,153.428,"146 km ESE of Kokopo, Papua New Guinea",33.0,5.0
usp000a3tj,974367103170,37.556,141.402,"near the east coast of Honshu, Japan",49.1,5.3
usp000a3tg,974366743280,-3.966,152.28,"New Ireland region, Papua New Guinea",33.0,5.5
usp000a3tf,974366593050,-5.003,153.32,"137 km ESE of Kokopo, Papua New Guinea",33.0,5.6
